,행정구,행정동,인구수,사업체수,종사자수,집 개수,소득,10대 비율,20대 비율,3040 비율,65세 이상 비율,행정동명,버스정류장 개수,지하철역 개수,자동차 등록대수,도로 평균 속도
0,송파구,가락1동,27670,3791,12367,9716,4973588,0.0963136971449223,0.09569931333574268,0.3543548970003614,0.14221178171304663,가락1동,14,3.0,11406.0,16.42
1,송파구,가락2동,31450,3155,11544,10424,3910198,0.10352941176470588,0.13017488076311606,0.3107154213036566,0.14957074721780605,가락2동,21,2.0,10758.0,15.61
2,송파구,가락본동,25617,5069,28151,8410,3521561,0.06355154780028888,0.14057071475972988,0.3180700316196276,0.1649295389780224,가락본동,25,1.0,12586.0,16.24
3,구로구,가리봉동,12478,1189,4248,2551,2336331,0.02532457124539189,0.14681840038467703,0.2850617086071486,0.17887481968264146,가리봉동,9,0.0,2730.0,15.08
4,금천구,가산동,27166,25043,182376,6200,2567594,0.025068099830670692,0.26857100787749394,0.3760583081793418,0.110248104247957,가산동,105,3.0,20010.0,18.46
5,강서구,가양1동,34255,9982,70656,7921,3560388,0.05003649102320829,0.23126550868486354,0.3955334987593052,0.10170777988614801,가양1동,62,3.0,26665.0,18.19
6,강서구,가양2동,13599,914,3352,7085,3065320,0.02919332303845871,0.0986101919258769,0.26678432237664534,0.33178910213986323,가양2동,15,0.0,4200.0,24.45
7,강서구,가양3동,14321,1252,7941,7454,3047051,0.028908595768451922,0.09035681865791495,0.33196005865512185,0.27651700300258364,가양3동,15,0.0,7575.0,14.53
8,종로구,가회동,3986,969,14180,1601,3479766,0.07952834922227797,0.1058705469141997,0.2980431510286001,0.2129954841946814,가회동,21,0.0,1265.0,18.1
9,은평구,갈현1동,14820,2038,5306,7330,2481200,0.06470985155195681,0.14541160593792174,0.28110661268556003,0.21464237516869095,갈현1동,36,0.0,5431.0,16.06
10,은평구,갈현2동,27817,2344,6776,9400,2539257,0.08092173850523061,0.14196354747097098,0.28299241471042885,0.19520437142754432,갈현2동,29,1.0,7503.0,14.68
11,강동구,강일동,32810,1443,5960,11745,3073250,0.1081377628771716,0.10347455044193843,0.2934775982932033,0.1856750990551661,강일동,51,2.0,12721.0,24.08
12,구로구,개봉1동,34067,2540,6162,10967,2805757,0.06572342736372443,0.11961722488038277,0.2924824610326709,0.20665159832095575,개봉1동,47,1.0,11065.0,16.96
13,구로구,개봉2동,30382,1789,3901,11045,3068971,0.06852741754986505,0.11134882496214864,0.281910341649661,0.2336580870252123,개봉2동,25,0.0,9241.0,14.68
14,구로구,개봉3동,20136,1428,8477,7266,2512790,0.06555423122765197,0.1109455701231625,0.27567540723083034,0.23078069129916567,개봉3동,22,0.0,5738.0,15.69
15,강남구,개포1동,6909,279,1251,1608,5336373,0.10551454624402953,0.09711969894340715,0.2550296714430453,0.24634534664929802,개포1동,14,0.0,3875.0,18.52
16,강남구,개포2동,40944,1309,4366,7063,5195802,0.12353458382180539,0.11359417741305197,0.3230265728800313,0.12937182493161392,개포2동,34,3.0,10266.0,18.86
17,강남구,개포3동,17010,863,10440,6680,4553185,0.09559082892416226,0.09753086419753086,0.31610817166372723,0.21387419165196944,개포3동,13,1.0,6205.0,22.7
18,강남구,개포4동,23597,2900,12667,7409,3550527,0.09318981226427088,0.12560918760859432,0.32050684409035046,0.15510446243166504,개포4동,26,0.0,8552.0,16.55
19,송파구,거여1동,12113,1228,3504,3552,2789100,0.06975976223891686,0.13663006687030463,0.269627672748287,0.21208618839263602,거여1동,8,1.0,4079.0,18.47
20,송파구,거여2동,23696,1225,4647,5382,3033238,0.07423193787981094,0.10698008102633356,0.3035955435516543,0.1899898717083052,거여2동,9,0.0,7416.0,15.95
21,강동구,고덕1동,24040,1274,3072,7536,4618641,0.15915141430948418,0.0839018302828619,0.3250415973377704,0.1314891846921797,고덕1동,21,0.0,8453.0,17.91
22,강동구,고덕2동,22928,1063,3653,6605,2465499,0.10249476622470342,0.0925069783670621,0.3459089323098395,0.14314375436147941,고덕2동,20,0.0,7971.0,21.26
23,구로구,고척1동,26614,3188,10326,7405,2972418,0.06985045464792966,0.1298940407304426,0.3288870519275569,0.1798677387840986,고척1동,31,0.0,7843.0,16.52
24,구로구,고척2동,26407,2416,5276,8142,2882639,0.0787291248532586,0.12083917143181733,0.2612564850229106,0.21732873859204,고척2동,36,0.0,8676.0,16.95
