Column1,행정구,행정동,인구수,age_10,age_20,age_3040,노약자,사업체수,종사자수,집개수,소득,버스정류장개수,지하철역개수,도로평균속도,1인당자동차등록대수,시내버스노선수,버스승차량
0,송파구,가락1동,27670,0.096313697,0.095699313,0.354354897,0.142211782,3791,12367,9716,4973588,14,3,16.42,0.412215396,131,2536468
1,송파구,가락2동,31450,0.103529412,0.130174881,0.310715421,0.149570747,3155,11544,10424,3910198,21,2,15.61,0.342066773,60,2364616
2,송파구,가락본동,25617,0.063551548,0.140570715,0.318070032,0.164929539,5069,28151,8410,3521561,25,1,16.24,0.491314362,105,3266207
3,구로구,가리봉동,12478,0.025324571,0.1468184,0.285061709,0.17887482,1189,4248,2551,2336331,9,0,15.08,0.218785062,63,2449595
4,금천구,가산동,27166,0.0250681,0.268571008,0.376058308,0.110248104,25043,182376,6200,2567594,105,3,18.46,0.736582493,199,11305765
5,강서구,가양1동,34255,0.050036491,0.231265509,0.395533499,0.10170778,9982,70656,7921,3560388,62,3,18.19,0.778426507,184,4519880
6,강서구,가양2동,13599,0.029193323,0.098610192,0.266784322,0.331789102,914,3352,7085,3065320,15,0,24.45,0.308846239,48,716974
7,강서구,가양3동,14321,0.028908596,0.090356819,0.331960059,0.276517003,1252,7941,7454,3047051,15,0,14.53,0.52894351,38,731099
8,종로구,가회동,3986,0.079528349,0.105870547,0.298043151,0.212995484,969,14180,1601,3479766,21,0,18.1,0.317360763,0,755212
9,은평구,갈현1동,14820,0.064709852,0.145411606,0.281106613,0.214642375,2038,5306,7330,2481200,36,0,16.06,0.366464238,51,2007430
10,은평구,갈현2동,27817,0.080921739,0.141963547,0.282992415,0.195204371,2344,6776,9400,2539257,29,1,14.68,0.269727145,71,3241509
11,강동구,강일동,32810,0.108137763,0.10347455,0.293477598,0.185675099,1443,5960,11745,3073250,51,2,24.08,0.387717159,200,3481016
12,구로구,개봉1동,34067,0.065723427,0.119617225,0.292482461,0.206651598,2540,6162,10967,2805757,47,1,16.96,0.324801127,90,6422870
13,구로구,개봉2동,30382,0.068527418,0.111348825,0.281910342,0.233658087,1789,3901,11045,3068971,25,0,14.68,0.304160358,62,3820727
14,구로구,개봉3동,20136,0.065554231,0.11094557,0.275675407,0.230780691,1428,8477,7266,2512790,22,0,15.69,0.284962257,27,1420799
15,강남구,개포1동,6909,0.105514546,0.097119699,0.255029671,0.246345347,279,1251,1608,5336373,14,0,18.52,0.560862643,76,1040850
16,강남구,개포2동,40944,0.123534584,0.113594177,0.323026573,0.129371825,1309,4366,7063,5195802,34,3,18.86,0.250732708,118,3348333
17,강남구,개포3동,17010,0.095590829,0.097530864,0.316108172,0.213874192,863,10440,6680,4553185,13,1,22.7,0.36478542,34,1296987
18,강남구,개포4동,23597,0.093189812,0.125609188,0.320506844,0.155104462,2900,12667,7409,3550527,26,0,16.55,0.362418952,69,1622212
19,송파구,거여1동,12113,0.069759762,0.136630067,0.269627673,0.212086188,1228,3504,3552,2789100,8,1,18.47,0.336745645,30,1049478
20,송파구,거여2동,23696,0.074231938,0.106980081,0.303595544,0.189989872,1225,4647,5382,3033238,9,0,15.95,0.312964213,30,948161
21,강동구,고덕1동,24040,0.159151414,0.08390183,0.325041597,0.131489185,1274,3072,7536,4618641,21,0,17.91,0.351622296,28,1258090
22,강동구,고덕2동,22928,0.102494766,0.092506978,0.345908932,0.143143754,1063,3653,6605,2465499,20,0,21.26,0.347653524,78,1771055
23,구로구,고척1동,26614,0.069850455,0.129894041,0.328887052,0.179867739,3188,10326,7405,2972418,31,0,16.52,0.294694522,74,4469444
24,구로구,고척2동,26407,0.078729125,0.120839171,0.261256485,0.217328739,2416,5276,8142,2882639,36,0,16.95,0.328549248,26,2835620
25,마포구,공덕동,37244,0.058049619,0.158710128,0.317286006,0.167543765,3861,21353,11878,4047702,35,2,15.59,0.321582,89,4884914
26,노원구,공릉1동,36867,0.068272439,0.19166192,0.274852849,0.193262267,3992,14564,13582,2786137,45,3,19.24,0.299210676,165,3461739
27,노원구,공릉2동,42448,0.100852808,0.174990577,0.290708632,0.145448549,2754,13078,12923,3394877,52,1,17.15,0.308141726,194,4351381
28,강서구,공항동,30316,0.074943924,0.126764745,0.343646919,0.149261116,2838,34394,7888,2896818,57,2,20.45,0.379997361,235,2513997
29,광진구,광장동,34296,0.158881502,0.113336832,0.301084675,0.121180313,2180,14269,10349,5284540,38,1,24.09,0.340477024,166,1867503
30,중구,광희동,7117,0.037937333,0.261205564,0.320640719,0.161444429,9352,34741,1828,3229604,24,3,14.46,0.341998033,96,4458539
31,종로구,교남동,9870,0.081560284,0.114285714,0.326038501,0.170719352,592,8371,3917,4616890,22,0,20.39,0.298074975,45,3484043
32,구로구,구로1동,20756,0.093515128,0.116592792,0.348525728,0.146415494,1158,3235,6820,3368067,21,0,18.25,0.793890923,23,1294763
33,구로구,구로2동,29104,0.049512095,0.107476636,0.267007971,0.215193788,9656,31811,7183,2453690,42,1,17.75,0.362390049,184,8034834
34,구로구,구로3동,25049,0.055052098,0.183600144,0.361012416,0.151223602,10885,94712,7361,2888444,47,2,15.24,0.354624935,57,6468187
35,구로구,구로4동,22670,0.046052051,0.120511689,0.284693427,0.222761359,2393,6469,8483,2617060,13,1,13.58,0.332995148,35,2414427
36,구로구,구로5동,31767,0.048131709,0.163062297,0.329933579,0.166336135,5596,28055,8740,3213284,34,1,15.81,0.36764567,82,5544567
