Column1,행정구,행정동,인구수,사업체수,종사자수,집 개수,소득,10대 비율,20대 비율,3040 비율,65세 이상 비율,행정동명,버스정류장 개수,지하철역 개수,자동차 등록대수,도로 평균 속도
0,송파구,가락1동,27670,3791,12367,9716,4973588,0.096313697,0.095699313,0.354354897,0.142211782,가락1동,14,3,11406,16.42
1,송파구,가락2동,31450,3155,11544,10424,3910198,0.103529412,0.130174881,0.310715421,0.149570747,가락2동,21,2,10758,15.61
2,송파구,가락본동,25617,5069,28151,8410,3521561,0.063551548,0.140570715,0.318070032,0.164929539,가락본동,25,1,12586,16.24
3,구로구,가리봉동,12478,1189,4248,2551,2336331,0.025324571,0.1468184,0.285061709,0.17887482,가리봉동,9,0,2730,15.08
4,금천구,가산동,27166,25043,182376,6200,2567594,0.0250681,0.268571008,0.376058308,0.110248104,가산동,105,3,20010,18.46
5,강서구,가양1동,34255,9982,70656,7921,3560388,0.050036491,0.231265509,0.395533499,0.10170778,가양1동,62,3,26665,18.19
6,강서구,가양2동,13599,914,3352,7085,3065320,0.029193323,0.098610192,0.266784322,0.331789102,가양2동,15,0,4200,24.45
7,강서구,가양3동,14321,1252,7941,7454,3047051,0.028908596,0.090356819,0.331960059,0.276517003,가양3동,15,0,7575,14.53
8,종로구,가회동,3986,969,14180,1601,3479766,0.079528349,0.105870547,0.298043151,0.212995484,가회동,21,0,1265,18.1
9,은평구,갈현1동,14820,2038,5306,7330,2481200,0.064709852,0.145411606,0.281106613,0.214642375,갈현1동,36,0,5431,16.06
10,은평구,갈현2동,27817,2344,6776,9400,2539257,0.080921739,0.141963547,0.282992415,0.195204371,갈현2동,29,1,7503,14.68
11,강동구,강일동,32810,1443,5960,11745,3073250,0.108137763,0.10347455,0.293477598,0.185675099,강일동,51,2,12721,24.08
12,구로구,개봉1동,34067,2540,6162,10967,2805757,0.065723427,0.119617225,0.292482461,0.206651598,개봉1동,47,1,11065,16.96
13,구로구,개봉2동,30382,1789,3901,11045,3068971,0.068527418,0.111348825,0.281910342,0.233658087,개봉2동,25,0,9241,14.68
14,구로구,개봉3동,20136,1428,8477,7266,2512790,0.065554231,0.11094557,0.275675407,0.230780691,개봉3동,22,0,5738,15.69
15,강남구,개포1동,6909,279,1251,1608,5336373,0.105514546,0.097119699,0.255029671,0.246345347,개포1동,14,0,3875,18.52
16,강남구,개포2동,40944,1309,4366,7063,5195802,0.123534584,0.113594177,0.323026573,0.129371825,개포2동,34,3,10266,18.86
17,강남구,개포3동,17010,863,10440,6680,4553185,0.095590829,0.097530864,0.316108172,0.213874192,개포3동,13,1,6205,22.7
18,강남구,개포4동,23597,2900,12667,7409,3550527,0.093189812,0.125609188,0.320506844,0.155104462,개포4동,26,0,8552,16.55
19,송파구,거여1동,12113,1228,3504,3552,2789100,0.069759762,0.136630067,0.269627673,0.212086188,거여1동,8,1,4079,18.47
20,송파구,거여2동,23696,1225,4647,5382,3033238,0.074231938,0.106980081,0.303595544,0.189989872,거여2동,9,0,7416,15.95
21,강동구,고덕1동,24040,1274,3072,7536,4618641,0.159151414,0.08390183,0.325041597,0.131489185,고덕1동,21,0,8453,17.91
22,강동구,고덕2동,22928,1063,3653,6605,2465499,0.102494766,0.092506978,0.345908932,0.143143754,고덕2동,20,0,7971,21.26
23,구로구,고척1동,26614,3188,10326,7405,2972418,0.069850455,0.129894041,0.328887052,0.179867739,고척1동,31,0,7843,16.52
24,구로구,고척2동,26407,2416,5276,8142,2882639,0.078729125,0.120839171,0.261256485,0.217328739,고척2동,36,0,8676,16.95
25,마포구,공덕동,37244,3861,21353,11878,4047702,0.058049619,0.158710128,0.317286006,0.167543765,공덕동,35,2,11977,15.59
26,노원구,공릉1동,36867,3992,14564,13582,2786137,0.068272439,0.19166192,0.274852849,0.193262267,공릉1동,45,3,11031,19.24
27,노원구,공릉2동,42448,2754,13078,12923,3394877,0.100852808,0.174990577,0.290708632,0.145448549,공릉2동,52,1,13080,17.15
28,강서구,공항동,30316,2838,34394,7888,2896818,0.074943924,0.126764745,0.343646919,0.149261116,공항동,57,2,11520,20.45
29,광진구,광장동,34296,2180,14269,10349,5284540,0.158881502,0.113336832,0.301084675,0.121180313,광장동,38,1,11677,24.09
30,중구,광희동,7117,9352,34741,1828,3229604,0.037937333,0.261205564,0.320640719,0.161444429,광희동,24,3,2434,14.46
31,종로구,교남동,9870,592,8371,3917,4616890,0.081560284,0.114285714,0.326038501,0.170719352,교남동,22,0,2942,20.39
32,구로구,구로1동,20756,1158,3235,6820,3368067,0.093515128,0.116592792,0.348525728,0.146415494,구로1동,21,0,16478,18.25
33,구로구,구로2동,29104,9656,31811,7183,2453690,0.049512095,0.107476636,0.267007971,0.215193788,구로2동,42,1,10547,17.75
34,구로구,구로3동,25049,10885,94712,7361,2888444,0.055052098,0.183600144,0.361012416,0.151223602,구로3동,47,2,8883,15.24
35,구로구,구로4동,22670,2393,6469,8483,2617060,0.046052051,0.120511689,0.284693427,0.222761359,구로4동,13,1,7549,13.58
36,구로구,구로5동,31767,5596,28055,8740,3213284,0.048131709,0.163062297,0.329933579,0.166336135,구로5동,34,1,11679,15.81
37,은평구,구산동,31743,1996,6219,10543,2602334,0.079608103,0.135966985,0.267397536,0.206817251,구산동,34,0,9339,14.89
38,광진구,구의1동,23929,2623,7443,5195,2683701,0.052697564,0.207154499,0.338041707,0.144845167,구의1동,13,1,6686,18.46
39,광진구,구의2동,26329,1929,5989,7341,2948328,0.084583539,0.130388545,0.299745528,0.179307987,구의2동,21,1,7279,16.58
40,광진구,구의3동,28095,3708,16217,9070,4010979,0.081687133,0.148033458,0.310304325,0.162164086,구의3동,23,1,9168,22.51
41,광진구,군자동,21592,2389,9834,4556,2604535,0.051639496,0.269590589,0.301778436,0.150935532,군자동,22,0,5160,17.97
42,성동구,금호1가동,14943,927,2416,6021,4010011,0.071806197,0.104195945,0.325235896,0.188516362,금호1가동,39,1,4796,14.11
43,성동구,금호2.3가동,22124,1458,2963,7453,3751434,0.058985717,0.113677454,0.335563189,0.184189116,금호2·3가동,37,0,6261,15.22
44,성동구,금호4가동,14329,999,2294,5223,4442144,0.06601996,0.095749878,0.348872915,0.182287668,금호4가동,31,1,4525,18.26
45,강동구,길동,44976,5966,23814,14776,2840603,0.059164888,0.142475987,0.307608502,0.1964381,길동,37,1,15918,17.09
46,성북구,길음1동,34909,1583,4419,11859,4462339,0.143029018,0.098054943,0.316680512,0.140049844,길음1동,27,1,10746,15.45
47,성북구,길음2동,21925,1696,5554,5855,3736133,0.092405929,0.116761688,0.312337514,0.150330673,길음2동,22,0,6447,17.31
48,관악구,낙성대동,18054,1997,8919,3543,3225725,0.047745652,0.342583361,0.327905173,0.114212917,낙성대동,36,0,3958,17.79
49,관악구,난곡동,26037,1485,3215,7659,2268676,0.062411184,0.142796789,0.270960556,0.220993202,난곡동,22,0,6307,15.9
50,관악구,난향동,14908,734,2130,4938,3262195,0.091024953,0.109538503,0.280185135,0.197142474,난향동,15,0,4838,16.37
51,서대문구,남가좌1동,16954,954,2718,5609,4622839,0.110416421,0.094962841,0.339094019,0.138551374,남가좌1동,15,1,5397,15.36
52,서대문구,남가좌2동,30444,2044,5698,8979,3237719,0.080836947,0.164137433,0.29707003,0.168768887,남가좌2동,25,0,8492,16
53,용산구,남영동,7385,2245,18439,1714,3183091,0.034800271,0.124983074,0.281381178,0.214624238,남영동,21,4,2660,15
54,관악구,남현동,17998,1442,5853,5277,3234026,0.040004445,0.214412713,0.327814202,0.170074453,남현동,9,0,4997,19.54
55,서초구,내곡동,17332,1493,9802,5435,4047063,0.087756751,0.097795984,0.307465959,0.202284791,내곡동,64,1,8232,21.47
56,동작구,노량진1동,32764,2367,7337,10612,3583099,0.058906116,0.187522891,0.303992187,0.18749237,노량진1동,52,3,8681,19.86
57,동작구,노량진2동,11198,2011,6809,2752,2420761,0.036792284,0.201018039,0.300232184,0.205483122,노량진2동,12,0,2370,21.24
58,은평구,녹번동,36563,3045,13682,12546,3055864,0.058447064,0.126083746,0.307988951,0.207094604,녹번동,27,2,10447,15.21
59,강남구,논현1동,21836,8395,48548,8113,3277066,0.039063931,0.195823411,0.419399157,0.13885327,논현1동,18,4,10388,13.23
60,강남구,논현2동,20855,9228,71748,7132,3973993,0.060081515,0.160537041,0.377894989,0.155837929,논현2동,26,4,10196,13.57
61,광진구,능동,11515,1214,6229,2531,2846023,0.045505862,0.210768563,0.363612679,0.149630916,능동,8,3,3050,13.82
