Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
시도코드,시도,시군구,일,기상,이용자유형,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3
11,서울특별시,강남구,2023-12-01(금),맑음,경로,8,11,11,11,10,9,9,8,9,10,11,12,12,12,12,14,13,13,12,11,8,10,9,10
0,0,0,0,0,국가유공자,18,12,9,9,7,8,9,8,7,8,8,8,11,11,11,12,8,14,12,12,11,0,0,5
0,0,0,0,0,어린이,0,8,13,6,2,9,8,10,10,5,3,4,5,5,4,5,6,5,4,4,8,0,0,0
0,0,0,0,0,외국인,0,27,0,18,10,12,6,8,7,8,9,9,9,8,9,8,10,11,8,6,7,0,0,0
0,0,0,0,0,일반인,11,13,13,12,9,8,9,10,10,10,11,12,13,14,14,14,15,15,15,14,12,11,9,9
0,0,0,0,0,장애인,6,11,10,9,8,8,9,9,9,10,10,11,12,12,12,13,12,13,12,10,8,7,8,8
0,0,0,0,0,청소년,9,11,14,4,5,7,6,9,8,9,7,5,7,8,9,9,11,11,9,9,5,5,5,1
0,0,0,2023-12-02(토),맑음,경로,9,11,12,12,12,11,11,10,10,11,11,12,12,12,13,13,14,14,12,10,6,10,8,7
0,0,0,0,0,국가유공자,22,9,7,13,9,9,7,9,10,10,10,10,8,10,8,11,11,12,8,15,4,0,0,0
0,0,0,0,0,어린이,0,6,12,9,5,5,6,7,6,6,8,8,9,9,9,10,10,11,10,7,0,4,0,0
0,0,0,0,0,외국인,0,29,8,20,11,11,10,9,8,9,11,8,8,10,8,16,11,8,10,10,0,0,0,0
0,0,0,0,0,일반인,12,14,13,13,11,10,10,11,11,11,12,12,12,12,12,13,14,15,15,14,12,11,10,10
0,0,0,0,0,장애인,12,10,10,11,11,10,10,10,10,11,11,12,11,12,11,12,14,13,12,11,12,18,2,16
0,0,0,0,0,청소년,25,24,23,18,8,5,9,9,8,7,9,10,11,10,11,13,13,12,13,10,7,5,2,0
0,0,0,2023-12-03(일),맑음,경로,11,12,12,12,12,11,10,9,10,11,12,12,12,11,11,13,14,13,12,9,12,11,6,5
0,0,0,0,0,국가유공자,0,9,9,15,9,16,9,8,10,11,10,11,9,7,8,7,12,13,15,10,0,0,0,0
0,0,0,0,0,어린이,0,17,15,12,11,8,8,7,7,8,8,8,9,10,10,9,9,6,8,7,0,0,0,0
0,0,0,0,0,외국인,0,41,18,10,12,13,13,10,8,8,10,9,10,9,12,9,9,10,9,8,0,0,0,0
0,0,0,0,0,일반인,12,15,13,12,11,10,10,10,10,10,11,11,12,12,12,13,14,14,14,12,12,11,11,11
0,0,0,0,0,장애인,10,9,12,10,10,9,9,10,10,11,11,11,11,11,11,12,12,13,12,9,11,7,13,1
0,0,0,0,0,청소년,8,25,20,13,8,6,7,8,7,7,9,9,9,9,12,13,14,10,11,8,3,7,8,3
0,0,0,2023-12-04(월),맑음,경로,9,11,12,11,10,9,9,9,9,9,10,11,12,12,13,13,13,13,12,11,7,10,10,9
0,0,0,0,0,국가유공자,0,11,8,9,6,9,7,7,6,9,8,10,9,10,13,12,10,11,13,10,16,11,0,0
0,0,0,0,0,어린이,0,1,22,6,3,7,6,8,8,4,3,3,3,4,3,3,4,6,4,8,0,0,0,0
0,0,0,0,0,외국인,0,0,26,14,8,9,10,9,7,7,7,9,9,10,8,8,7,9,11,10,0,0,0,0
0,0,0,0,0,일반인,10,12,13,12,9,9,9,10,10,10,11,12,13,15,15,15,15,15,14,13,11,12,12,11
0,0,0,0,0,장애인,9,11,9,9,8,9,8,9,9,9,10,11,12,12,13,13,14,13,12,11,7,13,11,9
