연도,성별,지역,학교유형,세부유형,설립유형,학교당 학생 수(명),학생(명),학급(개),학교(개)
2023,남녀,서울특별시,고등학교,전체,전체,643.1,205784,8962,320
2023,남녀,서울특별시 강남구,고등학교,전체,전체,791.0,17403,699,22
2023,남녀,서울특별시 강동구,고등학교,전체,전체,774.2,10839,442,14
2023,남녀,서울특별시 강북구,고등학교,전체,전체,731.4,5120,208,7
2023,남녀,서울특별시 강서구,고등학교,전체,전체,571.7,13149,596,23
2023,남녀,서울특별시 관악구,고등학교,전체,전체,498.7,8478,380,17
2023,남녀,서울특별시 광진구,고등학교,전체,전체,805.9,7253,274,9
2023,남녀,서울특별시 구로구,고등학교,전체,전체,629.8,8817,364,14
2023,남녀,서울특별시 금천구,고등학교,전체,전체,621.0,3726,165,6
2023,남녀,서울특별시 노원구,고등학교,전체,전체,685.6,17140,815,25
2023,남녀,서울특별시 도봉구,고등학교,전체,전체,590.6,5906,270,10
2023,남녀,서울특별시 동대문구,고등학교,전체,전체,558.6,6145,273,11
2023,남녀,서울특별시 동작구,고등학교,전체,전체,749.1,5244,227,7
2023,남녀,서울특별시 마포구,고등학교,전체,전체,627.3,5646,241,9
2023,남녀,서울특별시 서대문구,고등학교,전체,전체,689.0,4823,200,7
2023,남녀,서울특별시 서초구,고등학교,전체,전체,849.3,9342,368,11
2023,남녀,서울특별시 성동구,고등학교,전체,전체,456.0,3648,179,8
2023,남녀,서울특별시 성북구,고등학교,전체,전체,583.2,7582,336,13
2023,남녀,서울특별시 송파구,고등학교,전체,전체,686.8,13735,593,20
2023,남녀,서울특별시 양천구,고등학교,전체,전체,795.3,11930,472,15
2023,남녀,서울특별시 영등포구,고등학교,전체,전체,607.4,5467,238,9
2023,남녀,서울특별시 용산구,고등학교,전체,전체,439.0,4390,235,10
2023,남녀,서울특별시 은평구,고등학교,전체,전체,642.4,11564,515,18
2023,남녀,서울특별시 종로구,고등학교,전체,전체,526.1,7365,352,14
2023,남녀,서울특별시 중구,고등학교,전체,전체,478.2,5260,264,11
2023,남녀,서울특별시 중랑구,고등학교,전체,전체,581.2,5812,256,10
2022,남녀,서울특별시,고등학교,전체,전체,648.1,207388,9056,320
2022,남녀,서울특별시 강남구,고등학교,전체,전체,786.6,17305,700,22
2022,남녀,서울특별시 강동구,고등학교,전체,전체,752.5,10535,443,14
2022,남녀,서울특별시 강북구,고등학교,전체,전체,718.4,5029,209,7
2022,남녀,서울특별시 강서구,고등학교,전체,전체,580.1,13342,603,23
2022,남녀,서울특별시 관악구,고등학교,전체,전체,499.9,8498,383,17
2022,남녀,서울특별시 광진구,고등학교,전체,전체,802.4,7222,277,9
2022,남녀,서울특별시 구로구,고등학교,전체,전체,628.5,8799,368,14
2022,남녀,서울특별시 금천구,고등학교,전체,전체,628.2,3769,170,6
2022,남녀,서울특별시 노원구,고등학교,전체,전체,710.1,17753,826,25
2022,남녀,서울특별시 도봉구,고등학교,전체,전체,605.5,6055,278,10
2022,남녀,서울특별시 동대문구,고등학교,전체,전체,571.0,6281,280,11
2022,남녀,서울특별시 동작구,고등학교,전체,전체,782.9,5480,234,7
2022,남녀,서울특별시 마포구,고등학교,전체,전체,628.0,5652,242,9
2022,남녀,서울특별시 서대문구,고등학교,전체,전체,685.1,4796,200,7
2022,남녀,서울특별시 서초구,고등학교,전체,전체,848.8,9337,377,11
2022,남녀,서울특별시 성동구,고등학교,전체,전체,476.8,3814,190,8
2022,남녀,서울특별시 성북구,고등학교,전체,전체,586.0,7618,338,13
2022,남녀,서울특별시 송파구,고등학교,전체,전체,683.4,13668,593,20
2022,남녀,서울특별시 양천구,고등학교,전체,전체,781.9,11728,475,15
2022,남녀,서울특별시 영등포구,고등학교,전체,전체,609.8,5488,237,9
2022,남녀,서울특별시 용산구,고등학교,전체,전체,457.5,4575,237,10
2022,남녀,서울특별시 은평구,고등학교,전체,전체,650.7,11712,517,18
2022,남녀,서울특별시 종로구,고등학교,전체,전체,542.1,7589,354,14
2022,남녀,서울특별시 중구,고등학교,전체,전체,504.3,5547,267,11
2022,남녀,서울특별시 중랑구,고등학교,전체,전체,579.6,5796,258,10
2021,남녀,서울특별시,고등학교,전체,전체,676.0,216319,9194,320
2021,남녀,서울특별시 강남구,고등학교,전체,전체,800.4,17608,705,22
2021,남녀,서울특별시 강동구,고등학교,전체,전체,764.4,10701,446,14
2021,남녀,서울특별시 강북구,고등학교,전체,전체,748.3,5238,210,7
2021,남녀,서울특별시 강서구,고등학교,전체,전체,615.0,14144,616,23
2021,남녀,서울특별시 관악구,고등학교,전체,전체,520.3,8845,392,17
2021,남녀,서울특별시 광진구,고등학교,전체,전체,811.7,7305,280,9
2021,남녀,서울특별시 구로구,고등학교,전체,전체,644.3,9020,373,14
2021,남녀,서울특별시 금천구,고등학교,전체,전체,646.8,3881,175,6
2021,남녀,서울특별시 노원구,고등학교,전체,전체,765.4,19136,839,25
2021,남녀,서울특별시 도봉구,고등학교,전체,전체,633.6,6336,285,10
2021,남녀,서울특별시 동대문구,고등학교,전체,전체,605.1,6656,289,11
2021,남녀,서울특별시 동작구,고등학교,전체,전체,822.9,5760,234,7
2021,남녀,서울특별시 마포구,고등학교,전체,전체,651.0,5859,238,9
2021,남녀,서울특별시 서대문구,고등학교,전체,전체,701.3,4909,200,7
2021,남녀,서울특별시 서초구,고등학교,전체,전체,866.6,9533,379,11
2021,남녀,서울특별시 성동구,고등학교,전체,전체,449.3,4044,208,9
2021,남녀,서울특별시 성북구,고등학교,전체,전체,616.4,8013,344,13
2021,남녀,서울특별시 송파구,고등학교,전체,전체,746.5,14183,595,19
2021,남녀,서울특별시 양천구,고등학교,전체,전체,805.5,12082,485,15
2021,남녀,서울특별시 영등포구,고등학교,전체,전체,631.1,5680,243,9
2021,남녀,서울특별시 용산구,고등학교,전체,전체,502.5,5025,245,10
2021,남녀,서울특별시 은평구,고등학교,전체,전체,678.5,12213,518,18
2021,남녀,서울특별시 종로구,고등학교,전체,전체,576.2,8067,353,14
2021,남녀,서울특별시 중구,고등학교,전체,전체,562.3,6185,276,11
2021,남녀,서울특별시 중랑구,고등학교,전체,전체,589.6,5896,266,10
2020,남녀,서울특별시,고등학교,전체,전체,701.0,224316,9450,320
2020,남녀,서울특별시 강남구,고등학교,전체,전체,810.8,17837,717,22
2020,남녀,서울특별시 강동구,고등학교,전체,전체,782.6,10957,453,14
2020,남녀,서울특별시 강북구,고등학교,전체,전체,763.7,5346,212,7
2020,남녀,서울특별시 강서구,고등학교,전체,전체,652.1,14998,664,23
2020,남녀,서울특별시 관악구,고등학교,전체,전체,539.8,9176,403,17
2020,남녀,서울특별시 광진구,고등학교,전체,전체,819.8,7378,284,9
2020,남녀,서울특별시 구로구,고등학교,전체,전체,655.6,9178,376,14
2020,남녀,서울특별시 금천구,고등학교,전체,전체,680.8,4085,179,6
2020,남녀,서울특별시 노원구,고등학교,전체,전체,801.3,20032,847,25
2020,남녀,서울특별시 도봉구,고등학교,전체,전체,653.3,6533,294,10
2020,남녀,서울특별시 동대문구,고등학교,전체,전체,628.8,6917,306,11
2020,남녀,서울특별시 동작구,고등학교,전체,전체,842.9,5900,237,7
2020,남녀,서울특별시 마포구,고등학교,전체,전체,663.6,5972,236,9
2020,남녀,서울특별시 서대문구,고등학교,전체,전체,728.4,5099,203,7
2020,남녀,서울특별시 서초구,고등학교,전체,전체,891.3,9804,390,11
2020,남녀,서울특별시 성동구,고등학교,전체,전체,510.4,4594,239,9
2020,남녀,서울특별시 성북구,고등학교,전체,전체,636.3,8272,351,13
2020,남녀,서울특별시 송파구,고등학교,전체,전체,765.1,14537,607,19
2020,남녀,서울특별시 양천구,고등학교,전체,전체,823.4,12351,495,15
2020,남녀,서울특별시 영등포구,고등학교,전체,전체,652.4,5872,256,9
2020,남녀,서울특별시 용산구,고등학교,전체,전체,547.0,5470,255,10
2020,남녀,서울특별시 은평구,고등학교,전체,전체,703.3,12660,518,18
2020,남녀,서울특별시 종로구,고등학교,전체,전체,604.8,8467,367,14
2020,남녀,서울특별시 중구,고등학교,전체,전체,611.9,6731,288,11
2020,남녀,서울특별시 중랑구,고등학교,전체,전체,615.0,6150,273,10
2019,남녀,서울특별시,고등학교,전체,전체,739.7,236689,9478,320
2019,남녀,서울특별시 강남구,고등학교,전체,전체,841.5,18514,725,22
2019,남녀,서울특별시 강동구,고등학교,전체,전체,804.0,11256,456,14
2019,남녀,서울특별시 강북구,고등학교,전체,전체,791.7,5542,214,7
2019,남녀,서울특별시 강서구,고등학교,전체,전체,696.3,16016,644,23
2019,남녀,서울특별시 관악구,고등학교,전체,전체,569.2,9676,410,17
2019,남녀,서울특별시 광진구,고등학교,전체,전체,849.0,7641,287,9
2019,남녀,서울특별시 구로구,고등학교,전체,전체,688.1,9634,377,14
2019,남녀,서울특별시 금천구,고등학교,전체,전체,715.3,4292,182,6
2019,남녀,서울특별시 노원구,고등학교,전체,전체,852.5,21313,853,25
2019,남녀,서울특별시 도봉구,고등학교,전체,전체,695.4,6954,298,10
2019,남녀,서울특별시 동대문구,고등학교,전체,전체,668.1,7349,303,11
2019,남녀,서울특별시 동작구,고등학교,전체,전체,880.7,6165,237,7
2019,남녀,서울특별시 마포구,고등학교,전체,전체,684.6,6161,229,9
2019,남녀,서울특별시 서대문구,고등학교,전체,전체,775.6,5429,204,7
2019,남녀,서울특별시 서초구,고등학교,전체,전체,942.1,10363,385,11
2019,남녀,서울특별시 성동구,고등학교,전체,전체,582.9,5246,245,9
2019,남녀,서울특별시 성북구,고등학교,전체,전체,671.7,8732,348,13
2019,남녀,서울특별시 송파구,고등학교,전체,전체,808.5,15361,618,19
2019,남녀,서울특별시 양천구,고등학교,전체,전체,868.3,13025,497,15
2019,남녀,서울특별시 영등포구,고등학교,전체,전체,682.8,6145,260,9
2019,남녀,서울특별시 용산구,고등학교,전체,전체,599.6,5996,262,10
2019,남녀,서울특별시 은평구,고등학교,전체,전체,734.0,13212,514,18
2019,남녀,서울특별시 종로구,고등학교,전체,전체,646.1,9046,364,14
2019,남녀,서울특별시 중구,고등학교,전체,전체,641.6,7058,287,11
2019,남녀,서울특별시 중랑구,고등학교,전체,전체,656.3,6563,279,10
2018,남녀,서울특별시,고등학교,전체,전체,811.1,259554,9685,320
2018,남녀,서울특별시 강남구,고등학교,전체,전체,932.0,20505,730,22
2018,남녀,서울특별시 강동구,고등학교,전체,전체,873.4,12228,463,14
2018,남녀,서울특별시 강북구,고등학교,전체,전체,850.3,5952,219,7
2018,남녀,서울특별시 강서구,고등학교,전체,전체,758.4,17443,668,23
2018,남녀,서울특별시 관악구,고등학교,전체,전체,614.2,10441,421,17
2018,남녀,서울특별시 광진구,고등학교,전체,전체,944.9,8504,296,9
2018,남녀,서울특별시 구로구,고등학교,전체,전체,741.6,10382,380,14
2018,남녀,서울특별시 금천구,고등학교,전체,전체,784.0,4704,187,6
2018,남녀,서울특별시 노원구,고등학교,전체,전체,947.0,23674,869,25
2018,남녀,서울특별시 도봉구,고등학교,전체,전체,754.8,7548,305,10
2018,남녀,서울특별시 동대문구,고등학교,전체,전체,751.5,8266,312,11
2018,남녀,서울특별시 동작구,고등학교,전체,전체,963.3,6743,244,7
2018,남녀,서울특별시 마포구,고등학교,전체,전체,723.4,6511,228,9
2018,남녀,서울특별시 서대문구,고등학교,전체,전체,839.1,5874,210,7
2018,남녀,서울특별시 서초구,고등학교,전체,전체,1043.5,11478,397,11
2018,남녀,서울특별시 성동구,고등학교,전체,전체,659.9,5939,251,9
2018,남녀,서울특별시 성북구,고등학교,전체,전체,726.1,9439,360,13
2018,남녀,서울특별시 송파구,고등학교,전체,전체,905.1,17196,635,19
2018,남녀,서울특별시 양천구,고등학교,전체,전체,963.9,14458,508,15
2018,남녀,서울특별시 영등포구,고등학교,전체,전체,745.9,6713,263,9
2018,남녀,서울특별시 용산구,고등학교,전체,전체,664.2,6642,267,10
2018,남녀,서울특별시 은평구,고등학교,전체,전체,786.5,14157,522,18
2018,남녀,서울특별시 종로구,고등학교,전체,전체,715.4,10016,373,14
2018,남녀,서울특별시 중구,고등학교,전체,전체,685.4,7539,291,11
2018,남녀,서울특별시 중랑구,고등학교,전체,전체,720.2,7202,286,10
2017,남녀,서울특별시,고등학교,전체,전체,884.3,282968,9889,320
2017,남녀,서울특별시 강남구,고등학교,전체,전체,1046.3,23019,742,22
2017,남녀,서울특별시 강동구,고등학교,전체,전체,935.9,13102,472,14
2017,남녀,서울특별시 강북구,고등학교,전체,전체,914.1,6399,223,7
2017,남녀,서울특별시 강서구,고등학교,전체,전체,822.0,18907,682,23
2017,남녀,서울특별시 관악구,고등학교,전체,전체,656.6,11162,432,17
2017,남녀,서울특별시 광진구,고등학교,전체,전체,1049.0,9441,308,9
2017,남녀,서울특별시 구로구,고등학교,전체,전체,795.4,11135,386,14
2017,남녀,서울특별시 금천구,고등학교,전체,전체,850.3,5102,191,6
2017,남녀,서울특별시 노원구,고등학교,전체,전체,1041.0,26024,887,25
2017,남녀,서울특별시 도봉구,고등학교,전체,전체,818.1,8181,311,10
2017,남녀,서울특별시 동대문구,고등학교,전체,전체,826.8,9095,321,11
2017,남녀,서울특별시 동작구,고등학교,전체,전체,1026.7,7187,251,7
2017,남녀,서울특별시 마포구,고등학교,전체,전체,767.6,6908,229,9
2017,남녀,서울특별시 서대문구,고등학교,전체,전체,892.9,6250,214,7
2017,남녀,서울특별시 서초구,고등학교,전체,전체,1136.1,12497,403,11
2017,남녀,서울특별시 성동구,고등학교,전체,전체,704.0,6336,244,9
2017,남녀,서울특별시 성북구,고등학교,전체,전체,800.8,10411,374,13
2017,남녀,서울특별시 송파구,고등학교,전체,전체,1000.9,19018,652,19
2017,남녀,서울특별시 양천구,고등학교,전체,전체,1072.8,16092,519,15
2017,남녀,서울특별시 영등포구,고등학교,전체,전체,819.0,7371,274,9
2017,남녀,서울특별시 용산구,고등학교,전체,전체,718.3,7183,271,10
2017,남녀,서울특별시 은평구,고등학교,전체,전체,846.9,15244,531,18
2017,남녀,서울특별시 종로구,고등학교,전체,전체,787.8,11029,380,14
2017,남녀,서울특별시 중구,고등학교,전체,전체,715.1,7866,295,11
2017,남녀,서울특별시 중랑구,고등학교,전체,전체,800.9,8009,297,10
2016,남녀,서울특별시,고등학교,전체,전체,942.0,299556,10096,318
2016,남녀,서울특별시 강남구,고등학교,전체,전체,1156.0,24275,725,21
2016,남녀,서울특별시 강동구,고등학교,전체,전체,995.5,13937,482,14
2016,남녀,서울특별시 강북구,고등학교,전체,전체,948.9,6642,230,7
2016,남녀,서울특별시 강서구,고등학교,전체,전체,863.7,19864,696,23
