연도,성별,지역,학교유형,세부유형,설립유형,학교당 학생 수(명),학생(명),학급(개),학교(개)
2023,남녀,서울특별시,중학교,전체,전체,509.4,198648,8358,390
2023,남녀,서울특별시 강남구,중학교,전체,전체,687.5,16500,560,24
2023,남녀,서울특별시 강동구,중학교,전체,전체,576.1,10946,457,19
2023,남녀,서울특별시 강북구,중학교,전체,전체,438.2,5696,239,13
2023,남녀,서울특별시 강서구,중학교,전체,전체,468.7,10312,434,22
2023,남녀,서울특별시 관악구,중학교,전체,전체,394.6,6314,285,16
2023,남녀,서울특별시 광진구,중학교,전체,전체,556.2,6674,272,12
2023,남녀,서울특별시 구로구,중학교,전체,전체,563.5,7889,345,14
2023,남녀,서울특별시 금천구,중학교,전체,전체,403.4,3631,170,9
2023,남녀,서울특별시 노원구,중학교,전체,전체,530.1,13782,595,26
2023,남녀,서울특별시 도봉구,중학교,전체,전체,449.2,5839,264,13
2023,남녀,서울특별시 동대문구,중학교,전체,전체,408.7,6130,269,15
2023,남녀,서울특별시 동작구,중학교,전체,전체,434.4,6950,300,16
2023,남녀,서울특별시 마포구,중학교,전체,전체,514.9,7209,298,14
2023,남녀,서울특별시 서대문구,중학교,전체,전체,411.1,5756,262,14
2023,남녀,서울특별시 서초구,중학교,전체,전체,721.1,11538,421,16
2023,남녀,서울특별시 성동구,중학교,전체,전체,394.5,4339,205,11
2023,남녀,서울특별시 성북구,중학교,전체,전체,489.7,8814,381,18
2023,남녀,서울특별시 송파구,중학교,전체,전체,550.7,15971,665,29
2023,남녀,서울특별시 양천구,중학교,전체,전체,796.6,15136,584,19
2023,남녀,서울특별시 영등포구,중학교,전체,전체,521.4,6257,271,12
2023,남녀,서울특별시 용산구,중학교,전체,전체,345.0,3105,155,9
2023,남녀,서울특별시 은평구,중학교,전체,전체,531.3,9564,418,18
2023,남녀,서울특별시 종로구,중학교,전체,전체,275.7,2481,130,9
2023,남녀,서울특별시 중구,중학교,전체,전체,195.6,1565,99,8
2023,남녀,서울특별시 중랑구,중학교,전체,전체,446.4,6250,279,14
2022,남녀,서울특별시,중학교,전체,전체,526.6,205387,8499,390
2022,남녀,서울특별시 강남구,중학교,전체,전체,691.4,16593,559,24
2022,남녀,서울특별시 강동구,중학교,전체,전체,577.9,10981,456,19
2022,남녀,서울특별시 강북구,중학교,전체,전체,454.2,5905,245,13
2022,남녀,서울특별시 강서구,중학교,전체,전체,485.7,10686,439,22
2022,남녀,서울특별시 관악구,중학교,전체,전체,413.1,6609,292,16
2022,남녀,서울특별시 광진구,중학교,전체,전체,586.7,7040,280,12
2022,남녀,서울특별시 구로구,중학교,전체,전체,576.0,8064,347,14
2022,남녀,서울특별시 금천구,중학교,전체,전체,419.0,3771,172,9
2022,남녀,서울특별시 노원구,중학교,전체,전체,560.5,14574,620,26
2022,남녀,서울특별시 도봉구,중학교,전체,전체,476.6,6196,277,13
2022,남녀,서울특별시 동대문구,중학교,전체,전체,421.5,6323,275,15
2022,남녀,서울특별시 동작구,중학교,전체,전체,453.4,7255,308,16
2022,남녀,서울특별시 마포구,중학교,전체,전체,539.3,7550,301,14
2022,남녀,서울특별시 서대문구,중학교,전체,전체,417.2,5841,265,14
2022,남녀,서울특별시 서초구,중학교,전체,전체,729.9,11678,422,16
2022,남녀,서울특별시 성동구,중학교,전체,전체,422.6,4649,209,11
2022,남녀,서울특별시 성북구,중학교,전체,전체,514.4,9260,389,18
2022,남녀,서울특별시 송파구,중학교,전체,전체,565.7,16404,669,29
2022,남녀,서울특별시 양천구,중학교,전체,전체,829.1,15753,599,19
2022,남녀,서울특별시 영등포구,중학교,전체,전체,525.4,6305,269,12
2022,남녀,서울특별시 용산구,중학교,전체,전체,366.6,3299,160,9
2022,남녀,서울특별시 은평구,중학교,전체,전체,550.3,9906,424,18
2022,남녀,서울특별시 종로구,중학교,전체,전체,293.0,2637,132,9
2022,남녀,서울특별시 중구,중학교,전체,전체,209.3,1674,104,8
2022,남녀,서울특별시 중랑구,중학교,전체,전체,459.6,6434,286,14
