날짜,부동산지역,부동산 유형,면적,부동산수(개),면적비율(%)
202305,서울특별시 강남구,집합건물,전체,224701,100.00
202305,서울특별시 강남구,집합건물,0 ~ 40㎡,74718,33.25
202305,서울특별시 강남구,집합건물,41㎡ ~ 85㎡,85433,38.02
202305,서울특별시 강남구,집합건물,86㎡ ~ 135㎡,38395,17.09
202305,서울특별시 강남구,집합건물,136㎡ ~ 198㎡,19089,8.50
202305,서울특별시 강남구,집합건물,199㎡ 이상,4955,2.21
202305,서울특별시 강남구,집합건물,기타,2111,0.94
202305,서울특별시 강동구,집합건물,전체,160862,100.00
202305,서울특별시 강동구,집합건물,0 ~ 40㎡,46093,28.65
202305,서울특별시 강동구,집합건물,41㎡ ~ 85㎡,98606,61.30
202305,서울특별시 강동구,집합건물,86㎡ ~ 135㎡,12532,7.79
202305,서울특별시 강동구,집합건물,136㎡ ~ 198㎡,1642,1.02
202305,서울특별시 강동구,집합건물,199㎡ 이상,700,0.44
202305,서울특별시 강동구,집합건물,기타,1289,0.80
202305,서울특별시 강북구,집합건물,전체,90274,100.00
202305,서울특별시 강북구,집합건물,0 ~ 40㎡,29195,32.34
202305,서울특별시 강북구,집합건물,41㎡ ~ 85㎡,55033,60.96
202305,서울특별시 강북구,집합건물,86㎡ ~ 135㎡,4503,4.99
202305,서울특별시 강북구,집합건물,136㎡ ~ 198㎡,480,0.53
202305,서울특별시 강북구,집합건물,199㎡ 이상,302,0.33
202305,서울특별시 강북구,집합건물,기타,761,0.84
202305,서울특별시 강서구,집합건물,전체,260955,100.00
202305,서울특별시 강서구,집합건물,0 ~ 40㎡,110951,42.52
202305,서울특별시 강서구,집합건물,41㎡ ~ 85㎡,125185,47.97
202305,서울특별시 강서구,집합건물,86㎡ ~ 135㎡,15295,5.86
202305,서울특별시 강서구,집합건물,136㎡ ~ 198㎡,3129,1.20
202305,서울특별시 강서구,집합건물,199㎡ 이상,971,0.37
202305,서울특별시 강서구,집합건물,기타,5424,2.08
202305,서울특별시 관악구,집합건물,전체,130139,100.00
202305,서울특별시 관악구,집합건물,0 ~ 40㎡,51789,39.80
202305,서울특별시 관악구,집합건물,41㎡ ~ 85㎡,65334,50.20
202305,서울특별시 관악구,집합건물,86㎡ ~ 135㎡,9436,7.25
202305,서울특별시 관악구,집합건물,136㎡ ~ 198㎡,938,0.72
