날짜,지역,역명,인원유형,시간대,시간대별하루평균(명),전월평균(명),전월대비(명) ±
202312,서울특별시 강북구,4.19민주묘지,승하차인원,시간당 평균,292,357,-65
202312,서울특별시 강북구,4.19민주묘지,승하차인원,08-09시 평균,538,788,-250
202312,서울특별시 강북구,4.19민주묘지,승하차인원,12-13시 평균,384,462,-78
202312,서울특별시 강북구,4.19민주묘지,승하차인원,18-19시 평균,388,481,-94
202312,서울특별시 강북구,4.19민주묘지,승하차인원,20-21시 평균,230,254,-24
202312,서울특별시 송파구,가락시장,승하차인원,시간당 평균,1660,1660,-1
202312,서울특별시 송파구,가락시장,승하차인원,08-09시 평균,3091,3541,-449
202312,서울특별시 송파구,가락시장,승하차인원,12-13시 평균,1785,1685,100
202312,서울특별시 송파구,가락시장,승하차인원,18-19시 평균,3474,3620,-146
202312,서울특별시 송파구,가락시장,승하차인원,20-21시 평균,1520,1454,65
202312,서울특별시 금천구,가산디지털단지,승하차인원,시간당 평균,4924,5524,-600
202312,서울특별시 금천구,가산디지털단지,승하차인원,08-09시 평균,17231,20091,-2860
202312,서울특별시 금천구,가산디지털단지,승하차인원,12-13시 평균,3190,3204,-14
202312,서울특별시 금천구,가산디지털단지,승하차인원,18-19시 평균,13887,16677,-2789
202312,서울특별시 금천구,가산디지털단지,승하차인원,20-21시 평균,3854,4231,-376
202312,서울특별시 강서구,가양,승하차인원,시간당 평균,1943,2077,-134
202312,서울특별시 강서구,가양,승하차인원,08-09시 평균,4106,4694,-588
202312,서울특별시 강서구,가양,승하차인원,12-13시 평균,1957,1949,8
202312,서울특별시 강서구,가양,승하차인원,18-19시 평균,3757,4246,-488
202312,서울특별시 강서구,가양,승하차인원,20-21시 평균,1813,1958,-144
202312,서울특별시 강북구,가오리,승하차인원,시간당 평균,386,410,-24
202312,서울특별시 강북구,가오리,승하차인원,08-09시 평균,748,864,-117
202312,서울특별시 강북구,가오리,승하차인원,12-13시 평균,448,460,-13
202312,서울특별시 강북구,가오리,승하차인원,18-19시 평균,589,654,-65
202312,서울특별시 강북구,가오리,승하차인원,20-21시 평균,314,336,-22
202312,서울특별시 서대문구,가좌,승하차인원,시간당 평균,524,561,-37
202312,서울특별시 서대문구,가좌,승하차인원,08-09시 평균,1165,1361,-195
202312,서울특별시 서대문구,가좌,승하차인원,12-13시 평균,536,519,18
202312,서울특별시 서대문구,가좌,승하차인원,18-19시 평균,936,1073,-137
202312,서울특별시 서대문구,가좌,승하차인원,20-21시 평균,437,472,-35
202312,서울특별시 강남구,강남,승하차인원,시간당 평균,7011,7152,-141
202312,서울특별시 강남구,강남,승하차인원,08-09시 평균,10853,12342,-1489
202312,서울특별시 강남구,강남,승하차인원,12-13시 평균,6384,6111,273
202312,서울특별시 강남구,강남,승하차인원,18-19시 평균,15648,16713,-1065
202312,서울특별시 강남구,강남,승하차인원,20-21시 평균,7201,7362,-161
202312,서울특별시 강남구,강남구청,승하차인원,시간당 평균,2347,2549,-202
202312,서울특별시 강남구,강남구청,승하차인원,08-09시 평균,5326,6165,-839
202312,서울특별시 강남구,강남구청,승하차인원,12-13시 평균,2014,2080,-66
202312,서울특별시 강남구,강남구청,승하차인원,18-19시 평균,5493,6322,-829
202312,서울특별시 강남구,강남구청,승하차인원,20-21시 평균,2026,2206,-180
202312,서울특별시 강동구,강동,승하차인원,시간당 평균,1610,1684,-74
202312,서울특별시 강동구,강동,승하차인원,08-09시 평균,3587,4109,-522
202312,서울특별시 강동구,강동,승하차인원,12-13시 평균,1545,1495,50
202312,서울특별시 강동구,강동,승하차인원,18-19시 평균,3160,3499,-339
202312,서울특별시 강동구,강동,승하차인원,20-21시 평균,1429,1522,-93
202312,서울특별시 강동구,강동구청,승하차인원,시간당 평균,957,991,-34
202312,서울특별시 강동구,강동구청,승하차인원,08-09시 평균,2293,2599,-305
202312,서울특별시 강동구,강동구청,승하차인원,12-13시 평균,922,875,48
202312,서울특별시 강동구,강동구청,승하차인원,18-19시 평균,1998,2202,-203
202312,서울특별시 강동구,강동구청,승하차인원,20-21시 평균,828,835,-6
202312,서울특별시 광진구,강변,승하차인원,시간당 평균,2871,2936,-64
202312,서울특별시 광진구,강변,승하차인원,08-09시 평균,4770,5461,-691
202312,서울특별시 광진구,강변,승하차인원,12-13시 평균,3272,3081,191
202312,서울특별시 광진구,강변,승하차인원,18-19시 평균,5358,5828,-470
202312,서울특별시 광진구,강변,승하차인원,20-21시 평균,2848,2956,-108
202312,서울특별시 강동구,강일,승하차인원,시간당 평균,491,516,-25
202312,서울특별시 강동구,강일,승하차인원,08-09시 평균,988,1141,-153
202312,서울특별시 강동구,강일,승하차인원,12-13시 평균,490,476,14
202312,서울특별시 강동구,강일,승하차인원,18-19시 평균,836,948,-112
202312,서울특별시 강동구,강일,승하차인원,20-21시 평균,409,426,-17
202312,서울특별시 송파구,개롱,승하차인원,시간당 평균,597,630,-33
202312,서울특별시 송파구,개롱,승하차인원,08-09시 평균,1242,1404,-162
202312,서울특별시 송파구,개롱,승하차인원,12-13시 평균,584,569,15
202312,서울특별시 송파구,개롱,승하차인원,18-19시 평균,1082,1216,-134
202312,서울특별시 송파구,개롱,승하차인원,20-21시 평균,520,538,-18
202312,서울특별시 구로구,개봉,승하차인원,시간당 평균,1955,2042,-87
202312,서울특별시 구로구,개봉,승하차인원,08-09시 평균,3362,3845,-483
202312,서울특별시 구로구,개봉,승하차인원,12-13시 평균,2034,1979,55
202312,서울특별시 구로구,개봉,승하차인원,18-19시 평균,3672,4091,-419
202312,서울특별시 구로구,개봉,승하차인원,20-21시 평균,1838,1900,-62
202312,서울특별시 강남구,개포동,승하차인원,시간당 평균,434,467,-33
202312,서울특별시 강남구,개포동,승하차인원,08-09시 평균,766,895,-129
202312,서울특별시 강남구,개포동,승하차인원,12-13시 평균,503,501,2
202312,서울특별시 강남구,개포동,승하차인원,18-19시 평균,752,846,-93
202312,서울특별시 강남구,개포동,승하차인원,20-21시 평균,402,419,-17
202312,서울특별시 강서구,개화,승하차인원,시간당 평균,200,221,-21
202312,서울특별시 강서구,개화,승하차인원,08-09시 평균,482,564,-82
202312,서울특별시 강서구,개화,승하차인원,12-13시 평균,137,147,-10
202312,서울특별시 강서구,개화,승하차인원,18-19시 평균,369,427,-58
202312,서울특별시 강서구,개화,승하차인원,20-21시 평균,142,152,-10
202312,서울특별시 강서구,개화산,승하차인원,시간당 평균,514,542,-27
202312,서울특별시 강서구,개화산,승하차인원,08-09시 평균,1209,1380,-171
