날짜,지역,항목,인원유형,월 총(명),버스+지하철 월합(명),하루평균(명)
202312,강남구,지하철,승하차인원,36890691,54086002,1190022
202312,강남구,버스,승하차인원,17195311,,554687
202311,강남구,지하철,승하차인원,37627599,55186543,1254253
202311,강남구,버스,승하차인원,17558944,,585298
202310,강남구,지하철,승하차인원,35565516,52505409,1147275
202310,강남구,버스,승하차인원,16939893,,546448
202309,강남구,지하철,승하차인원,34360581,51055794,1145353
202309,강남구,버스,승하차인원,16695213,,556507
202308,강남구,지하철,승하차인원,36106989,53953589,1164742
202308,강남구,버스,승하차인원,17846600,,575697
202307,강남구,지하철,승하차인원,35719474,53868751,1152241
202307,강남구,버스,승하차인원,18149277,,585461
202306,강남구,지하철,승하차인원,35072804,52739206,1169093
202306,강남구,버스,승하차인원,17666402,,588880
202305,강남구,지하철,승하차인원,36394072,53732041,1174002
202305,강남구,버스,승하차인원,17337969,,559289
202304,강남구,지하철,승하차인원,35868513,52749554,1195617
202304,강남구,버스,승하차인원,16881041,,562701
202303,강남구,지하철,승하차인원,38107973,55952849,1229289
202303,강남구,버스,승하차인원,17844876,,575641
202302,강남구,지하철,승하차인원,34682327,50772620,1238655
202302,강남구,버스,승하차인원,16090293,,574653
202301,강남구,지하철,승하차인원,33726731,49599682,1087959
202301,강남구,버스,승하차인원,15872951,,512031
202312,강동구,지하철,승하차인원,9429734,15510741,304185
202312,강동구,버스,승하차인원,6081007,,196162
202311,강동구,지하철,승하차인원,9402690,15452760,313423
202311,강동구,버스,승하차인원,6050070,,201669
202310,강동구,지하철,승하차인원,9214898,15141559,297255
202310,강동구,버스,승하차인원,5926661,,191183
202309,강동구,지하철,승하차인원,8780924,14650917,292697
202309,강동구,버스,승하차인원,5869993,,195666
202308,강동구,지하철,승하차인원,8914234,15040540,287556
202308,강동구,버스,승하차인원,6126306,,197623
202307,강동구,지하철,승하차인원,8730818,14921386,281639
202307,강동구,버스,승하차인원,6190568,,199696
202306,강동구,지하철,승하차인원,8798763,14879390,293292
202306,강동구,버스,승하차인원,6080627,,202688
202305,강동구,지하철,승하차인원,9301357,15316769,300044
202305,강동구,버스,승하차인원,6015412,,194046
202304,강동구,지하철,승하차인원,9112666,15025025,303756
