노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,Column1
1150,외국어대학교 - 한국외대종점,0,외국어대학교,0,0,0,0,0,10,13,17,26,17,40,24,44,13,7,0,4,2,15,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,1,외국어대학교(경유),0,0,0,0,0,10,13,17,26,17,40,24,44,13,7,0,4,2,15,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,2,외국어대학교기숙사,0,0,4,0,0,0,15,13,0,13,43,9,49,15,0,0,9,0,4,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,3,외대.모현빌라,0,2,2,4,2,0,15,0,22,20,39,28,67,18,7,2,11,2,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,4,외국어대입구,0,4,4,2,7,0,14,0,0,22,28,30,72,20,10,9,13,4,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,5,외대사거리.왕산교,0,0,7,4,13,2,17,11,0,14,45,0,0,0,11,4,0,0,7,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,6,신안아파트,0,7,11,7,17,9,0,20,30,26,48,0,0,22,0,11,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,7,하마산.불영사,0,0,15,7,15,0,0,0,0,17,0,28,0,24,0,0,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,8,모현초등학교,0,0,9,0,9,4,17,11,0,0,45,30,7,27,0,0,11,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,9,매산사거리,0,0,0,11,11,5,0,11,0,0,0,33,9,20,9,13,4,0,4,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,10,문형2통.오포하수처리장,0,0,0,11,11,5,0,11,0,0,0,33,9,20,9,13,4,0,4,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,11,문형삼거리,0,13,17,11,11,7,17,0,0,16,39,33,74,29,16,7,0,7,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,12,문형2통.영진빌라,0,15,20,11,0,14,26,0,0,13,0,28,17,0,0,0,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,13,문형리잣나무골,0,17,24,13,0,0,31,0,35,0,41,30,0,9,0,9,0,0,0,0,0,0,0,0,
