Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
시도코드,시도,시군구,일,기상,이용자유형,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3
11,서울특별시,강남구,2023-12-01(금),맑음,경로,36,37,33,30,29,28,28,27,28,30,32,35,35,35,36,35,35,37,35,32,24,37,31,33
0,0,0,0,0,국가유공자,91,33,26,26,25,25,28,26,23,23,28,31,31,31,35,30,24,38,37,34,21,0,0,19
0,0,0,0,0,어린이,0,56,39,21,10,31,27,31,32,20,13,16,19,20,17,17,19,18,17,15,27,0,0,0
0,0,0,0,0,외국인,0,78,0,50,32,35,23,29,28,34,32,34,34,29,37,30,36,41,36,28,21,0,0,0
0,0,0,0,0,일반인,43,39,35,34,28,27,30,31,32,33,35,38,41,43,42,39,40,41,41,38,32,33,31,29
0,0,0,0,0,장애인,30,36,29,26,26,26,29,31,29,31,32,35,36,37,36,35,34,37,35,31,26,29,27,28
0,0,0,0,0,청소년,25,35,39,15,17,28,23,32,27,28,25,20,25,29,32,27,32,31,27,25,20,20,20,7
0,0,0,2023-12-02(토),맑음,경로,43,39,35,33,38,33,34,31,31,32,34,35,36,34,35,37,37,38,35,29,17,29,23,22
0,0,0,0,0,국가유공자,82,28,21,39,25,26,26,28,28,32,29,31,27,28,29,31,31,36,22,20,14,0,0,0
0,0,0,0,0,어린이,0,23,27,30,19,18,21,22,21,23,26,26,29,30,27,29,30,32,30,22,0,15,0,0
0,0,0,0,0,외국인,0,69,34,47,35,30,43,32,32,31,38,30,31,37,29,45,38,31,34,37,0,0,0,0
0,0,0,0,0,일반인,47,44,36,35,31,29,32,32,34,35,36,37,39,37,36,38,41,41,41,36,31,32,31,32
0,0,0,0,0,장애인,69,37,34,50,32,31,33,31,32,33,34,36,35,35,34,35,55,37,34,31,34,58,10,51
0,0,0,0,0,청소년,79,66,56,45,24,19,27,27,27,25,29,31,35,31,33,35,37,36,36,27,16,13,5,0
0,0,0,2023-12-03(일),맑음,경로,47,39,36,33,33,32,31,28,30,32,33,34,33,32,33,34,37,35,34,31,32,31,14,15
0,0,0,0,0,국가유공자,0,28,31,35,32,39,26,23,27,29,30,30,27,28,23,20,34,33,35,39,0,0,0,0
0,0,0,0,0,어린이,0,45,39,33,31,25,25,23,21,24,25,27,28,29,30,27,27,21,25,32,0,0,0,0
0,0,0,0,0,외국인,0,107,52,30,29,35,44,38,27,27,33,29,34,33,39,30,28,39,34,28,0,0,0,0
0,0,0,0,0,일반인,48,46,38,35,31,31,30,29,30,31,33,34,35,35,35,37,39,39,38,33,30,32,36,32
0,0,0,0,0,장애인,49,33,36,34,33,31,30,31,30,33,33,33,32,32,33,32,33,36,32,25,37,22,40,5
0,0,0,0,0,청소년,27,67,48,39,25,21,24,26,24,23,27,28,29,28,32,34,37,29,30,23,11,25,26,10
0,0,0,2023-12-04(월),맑음,경로,42,35,40,30,28,27,27,28,28,29,32,34,35,34,36,35,36,35,35,33,25,35,41,27
0,0,0,0,0,국가유공자,0,29,23,26,20,25,22,24,21,26,24,29,27,29,35,32,28,32,43,33,49,32,0,0
0,0,0,0,0,어린이,0,5,59,21,10,26,22,23,27,15,11,13,15,15,14,13,17,19,16,30,0,0,0,0
0,0,0,0,0,외국인,0,0,71,41,31,33,34,30,28,27,28,32,35,38,34,31,29,34,40,32,0,0,0,0
0,0,0,0,0,일반인,38,37,35,34,27,27,30,30,32,32,34,36,39,42,43,40,40,40,38,36,30,36,37,32
0,0,0,0,0,장애인,35,49,30,28,26,27,27,28,30,29,31,34,35,36,36,35,37,36,34,32,23,52,45,24
0,0,0,0,0,청소년,30,39,35,14,15,24,26,24,24,23,22,18,21,25,28,26,28,30,25,25,16,25,21,0
0,0,0,2023-12-05(화),맑음,경로,40,37,33,34,30,30,29,28,29,30,32,35,35,34,36,35,35,36,34,31,26,55,51,42
0,0,0,0,0,국가유공자,29,36,22,31,32,22,23,28,23,22,27,33,31,31,34,30,30,33,31,32,15,0,0,0
0,0,0,0,0,어린이,0,38,51,22,9,24,37,45,41,19,13,13,16,16,14,16,16,15,16,13,0,0,0,0
0,0,0,0,0,외국인,0,103,27,28,32,32,38,33,30,30,26,36,31,30,29,33,33,33,35,36,24,0,0,0
0,0,0,0,0,일반인,44,38,35,34,28,27,30,30,32,32,34,37,40,42,42,40,40,41,40,36,30,35,37,31
0,0,0,0,0,장애인,36,40,30,28,27,27,30,29,30,30,33,34,36,36,38,34,35,36,34,32,27,45,34,54
0,0,0,0,0,청소년,95,47,33,14,15,26,23,24,31,29,29,23,19,26,28,25,29,29,27,28,15,8,0,0
0,0,0,2023-12-06(수),맑음,경로,507,36,33,31,29,28,28,28,29,30,33,34,36,35,35,36,36,36,34,33,25,41,36,24
